163727,-75.3734,-74.7001
163833,-76.4466,-75.6001
163922,-77.2983,-76.5001
164027,-78.3962,-78.3001
164133,-79.2553,-79.2001
164223,-79.9373,-79.2001
164328,-80.739,-80.1001
164433,-81.7856,-81.0001
164523,-82.8671,-82.8001
164628,-84.2761,-83.7001
164733,-85.4514,-84.6001
164823,-86.4512,-86.4001
164928,-87.7423,-87.3001
165034,-89.1041,-89.1001
165123,-90.2783,-90.0001
165228,-91.0957,-90.9001
165319,-91.6879,-90.9001
165409,-91.8794,-91.8001
165529,-91.8738,-91.8001
165634,-91.7885,-91.8001
165724,-91.5833,-91.8001
165829,-91.4397,-91.8001
165934,-91.3797,-91.8001
166024,-91.3452,-91.8001
166129,-91.2474,-91.8001
166235,-90.9195,-91.8001
166324,-90.646,-90.9001
166430,-90.2629,-90.9001
166535,-89.7516,-90.0001
166625,-89.4676,-90.0001
166730,-88.8237,-89.1001
166835,-88.0261,-88.2001
166925,-87.1931,-87.3001
167030,-86.2611,-86.4001
167136,-85.8542,-86.4001
167225,-85.4135,-85.5001
167330,-84.8854,-85.5001
167436,-84.3958,-84.6001
167525,-83.8586,-84.6001
167631,-83.1954,-83.7001
167736,-82.388,-82.8001
167826,-81.8526,-81.9001
167931,-81.1871,-81.9001
168036,-80.1857,-81.0001
168126,-79.6194,-80.1001
168231,-78.909,-79.2001
168337,-77.9733,-78.3001
168426,-77.2734,-77.4001
168531,-76.7693,-77.4001
168637,-76.192,-76.5001
168727,-75.7106,-76.5001
168832,-74.9937,-75.6001
168937,-74.2825,-74.7001
169027,-73.8,-73.8001
169132,-72.9391,-73.8001
169237,-72.3854,-72.9001
169327,-71.8681,-72.0001
169432,-71.2904,-72.0001
169538,-70.5113,-71.1001
169627,-69.8436,-70.2001
169732,-68.851,-69.3
169838,-67.5402,-68.4
169928,-66.5694,-66.6
170033,-65.5876,-65.7
170138,-64.5322,-64.8
170213,-63.6945,-63.9
170333,-62.3084,-63
170438,-61.3648,-62.1
170528,-60.4595,-61.2
170633,-59.6992,-60.3
170739,-58.6739,-59.4
170828,-57.6266,-58.5
170933,-56.5339,-56.7
171039,-55.3392,-55.8
171129,-54.406,-54.9
171234,-53.1788,-54
171339,-52.0405,-52.2
171429,-50.8091,-51.3
171534,-49.5668,-50.4
171639,-48.7162,-49.5
171729,-47.9356,-48.6
171834,-46.824,-47.7
171940,-45.4475,-45.9
172029,-44.5985,-45
172135,-43.6558,-44.1
172240,-42.529,-43.2
172330,-41.3417,-41.4
172435,-39.8296,-40.5
172540,-38.6093,-38.7
172630,-37.6992,-37.8
172735,-36.3723,-36.9
172841,-35.2316,-36
172930,-34.0282,-34.2
173035,-32.4769,-33.3
173141,-30.514,-30.6
173230,-29.2657,-29.7
173336,-27.9131,-28.8
173441,-26.565,-27
173531,-24.9745,-25.2
173636,-22.8464,-23.4
173741,-21.4102,-21.6
173816,-20.6707,-20.7
173921,-20.0082,-20.7
174042,-19.5434,-19.8
174131,-19.0974,-19.8
174236,-18.5198,-18.9
174342,-18.0175,-18.9
174432,-17.2373,-18
174537,-15.8815,-16.2
174642,-14.733,-15.3
174732,-13.9057,-14.4
174837,-13.3574,-13.5
